v1_uni_studrich	v2_uni_sem	v3_schul_bula	v3T_schul_foreign	v4_schul_abi	v5_schul_mathkurs	v6_schul_mathnote	v7_kenn_math	v8_kenn_pc	v9_kenn_prog	v10_stat_vornach	v11_stat_int	v12_stat_diffal	v13_stat_diffpers	v14_stat_wich	v15_stat_beruf	v16_kons_notebook	v17_ort_wunsch	v18_ort_zufr	v19_ort_umzug	v20_kons_internet	v21_kons_tv	v22_kons_sport	v23_kons_jeans	v24_kons_rauch	v25_fin_selbst	v26_fin_eltern	v27_fin_studkred	v28_fin_baf	v29_fin_sonst	v29T_fin_sonst	v30_arb_sem	v30T_arb_vfz	v31_sozd_wohn	v32_sozd_distfeki	v33_sozd_sex	v34_sozd_mutters	v34T_sozd_mutters	v35_sozd_franken	v36_sozd_famstand	v37_sozd_ausb	v38_sozd_kgroe	v39_sozd_gewicht	v40_sozd_gebjahr
2	1	5	 	6	1	4	5	3	6	4	2	4	5	4	3	1	1	1	1	2,35	0	2	20	0	5	5	0	90	0	 	 	99	5	2	1	0	Russisch	0	1	0	165	2	1989
3	2	1	 	2	2	3	3	3	5	3	3	4	3	3	3	1	1	1	1	6	2	9	85	0	50	30	0	5	25	 	7	99	5	1,1	0	1	 	1	1	0	170	4	1988
3	4	2	 	3	2	3	3	1	5	3	2	3	3	4	4	0	1	1	1	2	1	0	40	0	50	50	0	0	0	 	0	99	7	,5	0	1	 	0	1	0	179	6	1988
1	1	1	 	3	2	4	4	3	6	4	3	4	4	4	4	1	1	1	1	1,5	2	5	35	0	20	80	0	0	0	 	0	99	5	,5	0	1	 	0	1	1	182	3	1987
1	3	2	 	3	2	3	4	3	5	1	2	4	3	3	3	1	0	1	1	3	3	4	35	0	15	10	0	75	0	 	0	99	1	2	1	1	 	0	1	0	170	2	1988
1	2	2	 	2,6	7	 	2	1	3	1	 	4	 	3	3	1	1	1	1	5	0	1	40	0	0	75	0	0	25	Erspartes	 	99	5	4	0	1	 	0	1	0	186	5	1990
4	2	1	 	3,2	2	1	2	3	3	1,5	3	2	2	4	4	1	1	1	0	2	3	5	40	1	10	20	0	70	0	 	 	99	1	15	0	1	 	1	1	0	178	3	1990
4	2	1	 	3,1	2	2	2	2	3	1	3	4	3	3	3	1	 	1	1	6	2	4	30	0	 	 	 	 	 	 	 	99	7	,2	0	1	 	0	1	0	192	3	1989
5	2	1	 	1,5	1	1	2	5	6	2	2	3	3	2	2	1	0	1	1	1,5	0	20	20	0	20	80	0	0	0	 	3	99	5	,5	1	1	 	0	1	0	170	2	1989
1	2	8	 	3,1	2	1	1	2	6	3	3	3	2	 	5	1	1	1	1	1	3,5	4	40	0	50	25	0	0	25	 	0	99	5	3,5	1	1	 	0	1	0	177	2	1990
4	1	8	 	3	1	3	3	2	3	5	4	3	2	2	2	1	1	1	1	1	,25	1	60	0	25	25	0	50	0	 	0	55	7	10	0	1	 	0	1	0	185	3	1990
3	2	11	 	3	2	3	4	2	3	3	2	4	3	3	2	1	0	1	1	6	0	0	120	0	30	70	0	0	0	 	0	50	3	7	0	1	 	0	1	0	180	3	1987
1	2	1	 	3	5	2	3	3	4	2,5	3	4	4	3	1	1	1	1	0	1	1	8	89	1	50	50	0	0	0	 	15	45	6	45	1	1	 	1	3	1	164	2	1987
5	2	1	 	3,2	2	2	2	2	4	4	3	4	3	5	4	1	0	1	1	2	0	0	30	0	50	0	0	50	0	 	0	45	5	3	1	0	Kurdisch	0	1	0	160	2	1988
1	3	2	 	3,1	 	4	3	3	6	4	2	5	4	2	1	1	0	1	1	3	3	6	 	0	 	 	 	 	 	 	0	42,5	8	,2	0	1	 	0	1	0	176	3	1987
 	2	17	Marokko	 	7	2,5	2	3	4	6	3	3	2	3	3	1	1	1	1	2	1	5	40	0	100	0	0	0	0	 	20	40	6	,3	1	0	Arabisch/Frz	0	1	0	186	3	1982
2	2	1	 	2,4	5	2	2	1	2	4	2	3	3	4	4	1	1	1	1	4	1	20	120	0	40	40	0	20	0	 	12	40	5	,5	0	1	 	1	1	1	183	4	1988
3	4	1	 	2	2	3	3	3	5	2	3	5	5	2	2	1	1	1	0	2	2	5	 	0	70	30	0	0	0	 	10	40	8	40	1	1	 	1	1	0	173	2	1987
7	2	3	 	1,9	2	2	2	2	5	2	3	4	3	4	3	1	1	1	1	3	0	3	50	0	0	0	0	50	50	 	2	40	5	2	1	1	 	0	1	0	159	2	1990
1	2	5	 	2	2	3	5	2	4	4	2	4	4	3	2	1	1	1	1	1	0	4	30	0	20	80	0	0	0	 	2	40	7	2	1	1	 	0	1	1	169	2	1987
1	2	2	 	2,7	1	1,7	2	4	5	2	2	5	3	4	3	1	1	1	1	5	4	2	40	1	20	70	0	0	10	 	0	40	7	2	1	1	 	0	 	0	173	99	1990
5	2	2	 	2,4	2	3	2	2	5	2	1	4	5	3	3	0	1	1	1	1,5	0	3	60	0	70	20	0	10	0	 	0	40	1	1	1	1	 	0	1	0	179	4	1989
3	2	1	 	2	1	2	2	3	5	6	3	5	3	4	3	1	1	1	1	6	0	8	40	0	20	80	0	0	0	 	0	40	7	,7	0	1	 	1	1	0	183	3	1989
1	1	1	 	2,3	5	3	3	3	5	5	1	5	5	3	3	1	1	1	1	2	2	2	40	0	0	100	0	0	0	 	0	40	7	,2	1	1	 	1	1	1	170	3	1988
1	2	8	 	2	2	4	4	 	 	0	1	4	5	3	2	1	0	1	1	3	1	10	100	0	30	70	0	0	0	 	0	40	7	1,1	0	1	 	0	1	1	190	3	1987
1	3	1	 	3	2	4	4	3	4	,5	2	4	5	3	3	0	1	1	0	1,5	1,5	8	50	0	25	25	0	0	50	Kindergeld	0	40	1	13	0	1	 	1	1	1	179	3	1987
1	2	10	 	2	2	3	2	 	6	5	2	3	4	2	2	1	1	1	1	1	1	6	95	0	10	30	0	60	0	 	0	40	5	 	1	1	 	0	1	0	174	2	1989
2	1	1	 	2,5	2	3	3	4	5	4	3	5	4	4	4	1	1	1	0	,5	,5	2	95	0	10	30	0	60	0	 	0	40	6	2	1	1	 	1	1	0	176	2	1988
5	4	6	 	3	1	3	4	3	4	1,5	2	5	4	2	2	1	1	1	1	2	1	2	60	1	0	50	0	50	0	 	0	40	7	 	1	1	 	0	1	0	167	2	1988
1	2	3	 	3	2	2	2	 	3	4,5	4	 	2	4	2	0	1	1	1	6	2	3	50	1	50	50	0	0	0	 	0	40	1	2	1	1	 	0	 	0	161	2	1988
5	2	6	 	1,4	2	3	4	3	5	2	3	4	4	3	2	1	1	0	1	4	0	2	45	0	50	50	0	0	0	 	10	38	7	3	1	1	 	0	1	0	165	2	1988
5	2	2	 	2	1	2	2	4	5	2	3	4	3	3	3	1	1	1	1	1	1	3	50	0	30	70	0	0	0	 	0	38	7	1	1	1	 	0	1	0	166	2	1990
3	2	5	 	1,5	2	2	3	2	6	4	3	4	4	3	3	1	1	1	1	1	1	2,5	40	 	10	90	0	0	0	 	0	38	7	2,5	1	1	 	0	1	0	164	2	1987
1	1	1	 	3	2	4	3	2	4	5	3	4	4	3	3	1	1	1	0	3,5	1,5	9	60	0	15	80	0	0	5	 	12	36	1	8	0	1	 	1	1	1	185	3	1987
3	2	2	 	2,6	1	3	4	3	4	5	3	4	3	4	5	1	1	1	1	1	0	5	60	0	20	80	0	0	0	 	0	36	7	4	1	1	 	0	1	0	172	2	1989
1	2	1	 	2,8	1	3	3	4	6	2	1	4	4	3	4	1	0	 	 	5	5	3	100	0	80	20	0	0	0	 	15	35	7	3	0	1	 	0	1	0	190	4	1988
5	2	1	 	1,8	2	2	4	5	5	3	2	5	5	4	3	1	1	1	1	1,5	1,5	1	40	0	30	0	0	70	0	 	13	35	7	3	1	1	 	0	1	0	172	3	1990
