nm	nmqm	wfl	rooms	bj	bez	wohngut	wohnbest	ww0	zh0	badkach0	badextra	kueche
741.39	10.9	68	2	1918	2	1	0	0	0	0	0	0
715.82	11.01	65	2	1995	2	1	0	0	0	0	0	0
528.25	8.38	63	3	1918	2	1	0	0	0	0	0	0
553.99	8.52	65	3	1983	16	0	0	0	0	0	1	0
698.21	6.98	100	4	1995	16	1	0	0	0	0	1	1
935.65	11.55	81	4	1980	16	0	0	0	0	0	0	0
204.85	3.72	55	2	1924	6	0	0	0	0	0	1	0
426.93	5.4	79	3	1924	6	0	0	0	0	0	0	0
446.33	8.58	52	1	1957	6	0	0	0	0	0	0	0
381.45	4.95	77	3	1948	6	0	0	0	0	0	0	0
337.26	9.64	35	1	1957	6	0	0	0	0	0	0	0
756.73	11.13	68	2	1985	6	1	0	0	0	0	0	0
945.9	10.28	92	3	1918	12	1	0	0	0	0	0	0
264.93	11.52	23	1	1957	4	1	0	0	0	0	0	0
540.58	6.84	79	2	1918	12	1	0	0	0	0	0	0
757.74	9.24	82	4	1966	10	0	0	0	0	1	0	0
538.7	7.48	72	3	1972	10	0	0	0	0	0	0	0
796.07	4.47	178	6	1918	1	1	0	1	1	0	0	0
461.19	9.41	49	2	2001	3	1	0	0	0	1	0	0
752.27	8.65	87	3	1966	4	0	0	0	0	1	1	0
446.55	10.38	43	2	1972	4	0	0	0	0	0	0	0
548.17	8.99	61	2	1957	4	0	0	0	0	1	0	0
421.03	7.02	60	3	1966	4	0	0	0	0	1	0	0
759.57	8.53	89	4	1960	4	0	0	0	0	1	0	0
390	4.24	92	3	1918	4	1	0	1	1	0	0	0
436.89	6.72	65	2	1918	4	1	0	0	0	0	0	0
174.76	3.07	57	3	1957	14	0	0	0	0	1	0	0
354.91	9.34	38	1	1967	14	0	0	0	0	1	0	1
491.62	9.83	50	2	1985	14	0	0	0	0	0	0	0
695.36	11.04	63	2	1992	3	1	0	0	0	0	1	0
540.22	7.2	75	3	1966	5	0	0	0	0	0	0	0
325.12	6.13	53	2	1976	17	0	0	0	0	0	0	0
598.88	6.81	88	4	1966	21	1	0	0	0	1	0	0
466.38	6.86	68	3	1971	22	0	0	0	0	0	0	0
374.13	6.93	54	2	1960	7	0	0	0	0	0	0	0
488.3	6.34	77	3	1972	7	0	0	0	0	0	0	0
662.55	8.39	79	3	1957	3	1	0	0	0	0	0	0
357.05	9.92	36	2	1960	3	1	0	0	1	0	0	0
1061.81	11.3	94	3	1993	15	1	0	0	0	0	1	0
546.1	8.03	68	3	1918	9	1	0	0	0	0	0	0
360.48	5.81	62	3	1918	9	1	0	1	1	0	0	0
422.43	4.18	101	4	1918	9	1	0	0	1	0	0	0
433.25	6.37	68	3	1966	13	0	0	0	0	1	0	0
521.53	10.87	48	2	1987	2	1	0	0	0	0	0	0
264.99	8.55	31	1	1973	11	0	0	0	0	0	0	0
480.1	7.39	65	3	1971	11	0	0	0	0	0	0	0
383.72	10.66	36	1	1972	4	1	0	0	0	0	0	0
636.13	11.78	54	2	1999	10	0	0	0	0	0	0	1
415.91	7.56	55	2	1986	10	0	0	0	0	0	0	0
1355.28	11.99	113	4	2001	23	0	0	0	0	0	0	0
575.9	5.24	110	4	1966	23	0	0	0	0	0	1	0
935.9	12.48	75	3	1971	12	1	0	0	0	0	0	0
624.8	8.33	75	2	1985	12	1	0	0	0	0	0	0
606.91	9.06	67	3	1968	19	0	0	0	0	1	0	1
347.68	8.91	39	1	1970	19	0	0	0	0	0	0	0
373.98	10.39	36	1	1966	7	0	0	0	0	1	0	0
1063.5	10.43	102	4	1924	12	1	0	0	0	0	0	0
894.78	10.17	88	3	1960	12	0	0	0	0	0	0	0
1077.23	7.33	147	4	1918	12	1	0	0	0	0	1	0
331.67	5.1	65	3	1966	19	0	0	0	0	0	0	0
849.24	9.99	85	3	1969	19	0	0	0	0	0	0	0
1012.86	8.73	116	6	2001	24	0	0	0	0	0	1	0
664.69	9.11	73	3	1924	23	0	0	0	0	0	0	1
1022.6	11.36	90	3	1989	19	0	1	0	0	0	0	0
640.32	7.91	81	3	1972	19	1	0	0	0	1	0	0
